Process ID: [2339266] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-7b
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./sft2/sharegpt
    save_dir: ./fact/sharegpt
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2339266] | Loading data from ./sft2/sharegpt/Bio-Medical.json | Total 200
Process ID: [2339266] | Loading exist data from ./fact/sharegpt/Bio-Medical.json | Total 0
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 0 items to ./fact/sharegpt/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:09<29:58,  9.04s/it]  1%|▋                                                              | 2/200 [00:22<38:17, 11.60s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 2 items to ./fact/sharegpt/Bio-Medical.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [25:53<01:03,  9.06s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [26:01<00:51,  8.59s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 194 items to ./fact/sharegpt/Bio-Medical.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [26:02<00:31,  6.31s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [26:10<00:27,  6.88s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 196 items to ./fact/sharegpt/Bio-Medical.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [26:11<00:15,  5.08s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [26:22<00:13,  6.81s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 198 items to ./fact/sharegpt/Bio-Medical.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [26:29<00:06,  6.95s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [26:36<00:00,  6.88s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [26:36<00:00,  7.98s/it]
Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 200 items to ./fact/sharegpt/Bio-Medical.json
Process ID: [2339266] | Exit
Process ID: [2339266] | Loading data from ./sft2/sharegpt/Finance.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 0 items to ./fact/sharegpt/Finance.json
  0%|▎                                                              | 1/200 [00:06<20:06,  6.06s/it]  1%|▋                                                              | 2/200 [00:11<17:52,  5.42s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 2 items to ./fact/sharegpt/Finance.json
  2%|▉                                                              | 3/200 [00:20<23:08,  7.05s/it]  2%|█▎                                                             | 4/200 [00:31<28:09,  8.62s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 4 items to ./fact/sharegpt/Finance.json
