Process ID: [2421853] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421853] | Loading data from ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421853] | Loading exist data from ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 0
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:12<42:09, 12.71s/it]  1%|▋                                                              | 2/200 [00:19<30:26,  9.23s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 78%|███████████████████████████████████████████████▎             | 155/200 [27:55<10:35, 14.13s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [28:08<10:04, 13.73s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 156 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 78%|███████████████████████████████████████████████▉             | 157/200 [28:19<09:18, 12.98s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [28:31<08:54, 12.73s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 158 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 80%|████████████████████████████████████████████████▍            | 159/200 [28:42<08:15, 12.09s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [28:52<07:41, 11.55s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 160 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 80%|█████████████████████████████████████████████████            | 161/200 [29:08<08:24, 12.94s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [29:19<07:42, 12.18s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 162 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [29:36<08:25, 13.67s/it] 82%|██████████████████████████████████████████████████           | 164/200 [29:51<08:27, 14.11s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 164 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [30:03<07:51, 13.46s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [30:10<06:33, 11.58s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 166 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [30:22<06:28, 11.78s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [30:25<04:49,  9.04s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 168 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [30:40<05:34, 10.80s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [31:04<07:22, 14.74s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 170 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [31:11<05:57, 12.34s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [31:21<05:28, 11.75s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 172 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [31:36<05:45, 12.79s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [31:50<05:38, 13.02s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 174 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [32:01<05:12, 12.51s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [32:10<04:37, 11.55s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 176 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [32:26<04:53, 12.77s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [32:33<04:03, 11.06s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 178 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [32:40<03:24,  9.76s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [32:55<03:47, 11.35s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 180 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [33:06<03:33, 11.25s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [33:19<03:34, 11.93s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 182 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [33:34<03:37, 12.78s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [33:45<03:13, 12.11s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 184 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [33:58<03:06, 12.44s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [34:08<02:44, 11.72s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 186 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
