Process ID: [2421855] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421855] | Loading data from ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421855] | Loading exist data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 14
  0%|                                                                       | 0/186 [00:00<?, ?it/s]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  1%|▎                                                              | 1/186 [00:10<31:37, 10.26s/it]  1%|▋                                                              | 2/186 [00:24<38:13, 12.46s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 84%|███████████████████████████████████████████████████▍         | 157/186 [26:30<03:50,  7.93s/it] 85%|███████████████████████████████████████████████████▊         | 158/186 [26:36<03:26,  7.38s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 172 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 85%|████████████████████████████████████████████████████▏        | 159/186 [26:54<04:44, 10.53s/it] 86%|████████████████████████████████████████████████████▍        | 160/186 [27:03<04:23, 10.13s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 174 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 87%|████████████████████████████████████████████████████▊        | 161/186 [27:15<04:28, 10.72s/it] 87%|█████████████████████████████████████████████████████▏       | 162/186 [27:20<03:34,  8.92s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 176 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▍       | 163/186 [27:31<03:39,  9.54s/it] 88%|█████████████████████████████████████████████████████▊       | 164/186 [27:40<03:29,  9.51s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 178 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 89%|██████████████████████████████████████████████████████       | 165/186 [27:42<02:30,  7.18s/it] 89%|██████████████████████████████████████████████████████▍      | 166/186 [27:51<02:34,  7.71s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 180 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 90%|██████████████████████████████████████████████████████▊      | 167/186 [28:02<02:43,  8.62s/it] 90%|███████████████████████████████████████████████████████      | 168/186 [28:27<04:03, 13.55s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 182 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 91%|███████████████████████████████████████████████████████▍     | 169/186 [28:35<03:22, 11.91s/it] 91%|███████████████████████████████████████████████████████▊     | 170/186 [28:43<02:53, 10.85s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 184 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 92%|████████████████████████████████████████████████████████     | 171/186 [28:55<02:47, 11.17s/it] 92%|████████████████████████████████████████████████████████▍    | 172/186 [29:19<03:30, 15.07s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 186 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 93%|████████████████████████████████████████████████████████▋    | 173/186 [29:27<02:48, 12.94s/it] 94%|█████████████████████████████████████████████████████████    | 174/186 [29:36<02:20, 11.71s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 188 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 94%|█████████████████████████████████████████████████████████▍   | 175/186 [29:47<02:05, 11.40s/it] 95%|█████████████████████████████████████████████████████████▋   | 176/186 [29:53<01:39,  9.93s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 190 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 95%|██████████████████████████████████████████████████████████   | 177/186 [30:09<01:44, 11.64s/it] 96%|██████████████████████████████████████████████████████████▍  | 178/186 [30:19<01:28, 11.07s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 192 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 96%|██████████████████████████████████████████████████████████▋  | 179/186 [30:24<01:06,  9.54s/it] 97%|███████████████████████████████████████████████████████████  | 180/186 [30:34<00:56,  9.50s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 194 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 97%|███████████████████████████████████████████████████████████▎ | 181/186 [30:48<00:53, 10.79s/it] 98%|███████████████████████████████████████████████████████████▋ | 182/186 [30:57<00:41, 10.25s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 196 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 98%|████████████████████████████████████████████████████████████ | 183/186 [31:08<00:31, 10.46s/it] 99%|████████████████████████████████████████████████████████████▎| 184/186 [31:18<00:20, 10.38s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 198 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
